TR:IB030:CellType,TR:antiCD3,TR:BDNF,TR:BN201,TR:gilenya,TR:H2O2,TR:rebif,TR:IFNG,TR:NaCl,TR:IL1A,TR:Teriflunomide,TR:IL6,TR:INS,TR:LPS,TR:EGCG,TR:PolyIC,TR:conA,TR:S1P1,TR:TNFA,TR:vitD3,TR:DMF,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,1,1,1,1,1,1,1,1,0.943547789381197,1,1,1,1,1,1,1
1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.491567271062893,0.231313736896596,0.282554259045029,0.352065024602661,0.22027654294978,0.210646747011647,0.281659521213067,0.318005494239283,0.195306814127999,0.22435281732814,0.302587769825963,0.230163729904463,0.0984466824893074,0.5,0.449901645197236,0.196209150750307
1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.355561459952599,0.245431202156003,0.215096892144136,0.199867292405839,0.196537760564024,0.116555985416551,0.248726667146821,0.308173572204082,0.117112630179328,0.248104525942256,0.220983896218956,0.0923047049191323,0.0558087947709773,0.158602212550529,0.253665559951699,0.373784535066463
1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.200322125020364,0.254820538148452,0.208019115567836,0.248778780626873,0.187818474946433,0.215237816407931,0.245535779541761,0.26939228723618,0.0952729486355319,0.163813487027679,0.230512704466998,0.128380399348379,0.193833267936108,0.240665793762875,0.260447673382853,0.161639279452158
1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.454695790913162,0.5,0.45001591535016,0.5,0.451476615540455,0.480829235604543,0.430498666742608,0.398230250045791,0.269113761807549,0.293140071192151,0.572068488836201,0.721480478804618,0.562949495355253,0.408210727651142,0.5,0.352010383592451
1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.523609090527185,0.967452482479172,0.910836406292484,0.996525699840318,0.968957753505394,0.960062511316919,0.850355235826119,NA,1,0.747972428816302,0.948851265052666,0.992110628066159,0.763371593762771,0.986567526606785,1,0.546449588009249
1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.787937925334963,1,0.98090923348406,1,0.739944331935906,1,0.5,0.718546232300979,0.5,0.712013260534809,0.814468172313107,0.690219628274794,0.5,0.829350921171219,0.987680373736057,0.774441546315467
1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.969144736399465,0.668899395947498,0.550601679002213,0.459524421842276,0.516903834264941,1,1,1,1,0.63761619024862,0.444293638451385,0.203135509557718,0.502790987457725,1,1,0.549000937694621
1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0.667596483813705,0.78003839257894,0.758474673594851,0.592085014604004,0.551855426904337,1,0.700470207105878,0.874060686969428,1,0.722154585618007,0.562663307860065,0.5,0.545197018872781,1,0.568705221768547,0.700241661044382
