TR:IB064:CellType,TR:ANTICD3,TR:BDNF,TR:BN201,TR:GILENYA,TR:H2O2,TR:REBIF,TR:IFNG,TR:NACL,TR:IL1A,TR:TERIFLUNOMIDE,TR:IL6,TR:INS,TR:LPS,TR:EGCG,TR:POLYIC,TR:CONA,TR:S1P1,TR:TNFA,TR:VITD3,TR:DMF,DA:HSPB1,DA:JUN,DA:PTN11,DA:IKBA,DA:AKT1,DA:WNK1,DA:MK12,DA:TF65,DA:STAT1,DA:GSK3A,DA:STAT3,DA:MP2K1,DA:MKO3,DA:CREB1,DA:FAK1,DA:STAT5,DA:STAT6,DV:HSPB1,DV:JUN,DV:PTN11,DV:IKBA,DV:AKT1,DV:WNK1,DV:MK12,DV:TF65,DV:STAT1,DV:GSK3A,DV:STAT3,DV:MP2K1,DV:MKO3,DV:CREB1,DV:FAK1,DV:STAT5,DV:STAT6
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.675954065715184,0.724987683895917,1,1,0,0.689533002395821,0.506421588343146,0.414447196291861,0,0.448379248097295,0.680667575741227,0.778395170998396,0.809426738137396,0,0.765094811074088,0.838368925578279,0
1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.393911732826612,0.120397237812766,1,0.132148309772003,0,0.610732904577802,0,0,0,0,0.495069549113893,0.74467559251516,0.59780137287094,0,0,0.48742763125899,0
1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.824832026799243,0,0.0844013474524034,0.102071852766312,0,0,0,0,0,0.159766420466279,0.211372791928293,0.0567519041152058,0,0,0,0,0
1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.745385124982552,0.712637643893307,1,0.106382017004358,0,0,0,0,0,0,0,0,0,0,0,0.5,0
1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.596311889759674,0.457279846275855,0.257952316210521,0.0949733650733597,0,0.510454054634512,0,0.880843244776416,0,0.958631463715732,0.26453427490084,0.481237715698917,0.549833828668291,0,0.886534930852425,0.299577684949565,0
1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.485455856008048,0.0129073305713103,1,0.5,0,0.556100345432715,0,0,0,0,0.995339418195814,0.605213317211241,0.399147029241307,0,0,0.899446638026904,0
1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.6982794583417,0.87542770765377,1,0.222137377306442,0,0.486535345749394,0,0,0,0,0.550789301879687,0.450555285453215,0.230022446533316,0,0.211405242447164,0.564865561682668,0
1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.96017073287028,0.871802292702311,1,0.799048484934854,0,0,0.804310351055996,0.79618030041914,0,0.982222731694966,0.833124206576604,0,0,0,0.980064422018816,0.891480727207013,0
1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.5,0.311583111183555,0.100823170672259,0.569404581565687,0,0.635722394195024,0.593407922574571,0.825714899340046,0,0.956680397532848,0.5,0.705259154157131,0.552147152034105,0,0.956689010914891,0.187166046662379,0
